,company,product_name,rating,category,country,county
0,Laiteries H. Triballat  Website,Picandou L'Original,GOLD,5001 - Soft goats’ milk cheese plain – fresh,France,
1,Fromageries Lescure (Savencia)  Website,ISLOS GREEK GOAT CHEESE 150G,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Greece,
2,Casale Roccolo azienda agricola biologica  Website,Caprino Fresco CASALE ROCCOLO,SILVER,5001 - Soft goats’ milk cheese plain – fresh,Italy,
3,DeJong Cheese  Website,Alphenaer Crumbled Goats Cheese Natural  View  Stockists,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Netherlands,
4,DeJong Cheese  Website,Alphenaer Spreadable Goats Cheese Natural  View  Stockists,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Netherlands,
5,Arias - Savencia  Website,Flor de Ronda,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Spain,
6,PRODUCTOS ALIMENTARIOS QUESÍ S.L  Website,Queso Fresco de Cabra,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Spain,
7,Queseria Valdehornos  Website,VALDEHORNOS Fresco,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Spain,
8,Lacteas Cobreros S.A.  Website,Rulo natural de cabra 100g precortado Cobreros,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Spain,
9,Lacteos Romero Pelaez SI (Quesos Y Besos)  Website,QUESO FRESCO QUESOS Y BESOS,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Spain,
10,"Quesos Corcuera, S.L  Website",QUESO ECOLOGICO DE CABRA LA CELESTINA,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Spain,
11,Lácteas Castellano-Leonesas S.A  Website,Queso para untar de cabra Reny Picot,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Spain,
12,Sabores de tallante  Website,PAÑO FRESCO DE CABRA ARTESANO,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,Spain,
13,Quesos San Mateo  Website,Queso fresco de cabra SAN MATEO,SILVER,5001 - Soft goats’ milk cheese plain – fresh,Spain,
14,"Central Quesera Montesinos, S.L.U.  Website",Capricho de Cabra Natural,SILVER,5001 - Soft goats’ milk cheese plain – fresh,Spain,
15,AGROALIMENTARIA EL BUCARITO SL  Website,QUESO FRESCO EL BUCARITO,SILVER,5001 - Soft goats’ milk cheese plain – fresh,Spain,
16,"Quesos de Almazora, S.L.  Website",QUESO TRONCHÓN FRESCO DE CABRA,GOLD,5001 - Soft goats’ milk cheese plain – fresh,Spain,
17,Cerney Cheese  Website,Cerney Ash Pyramid  View  Stockists,BRONZE,5001 - Soft goats’ milk cheese plain – fresh,United Kingdom,Gloucestershire
18,Cerney Cheese  Website,Cerney Ash Pyramid,SILVER,5001 - Soft goats’ milk cheese plain – fresh,United Kingdom,Gloucestershire
19,Andechser Molkerei Scheitz GmbH  Website,ANDECHSER NATUR Bio-Ziegencamembert ( Organic goat camembert ),SILVER,5002 - Soft goats’ milk cheese plain – mouldripened,Austria,
20,Kaasboerderij 't Groendal  Website,Chevreau Rouge,BRONZE,5002 - Soft goats’ milk cheese plain – mouldripened,Belgium,
